"h [mm]","w [mm]","Freq [GHz]","re(Zo(Port_In)) []","im(Zo(Port_In)) []","dB(S(Port_In,Port_In)) []","dB(S(Port_Out,Port_In)) []"
0.05,0.03,9.056,55.1449109434623,-0.923585947521069,-26.9346678413542,-0.265218838202356
0.05,0.03,9.094,55.1441805530159,-0.919510032818176,-26.9156069185914,-0.265927069925275
0.05,0.03,9.132,55.1434562580852,-0.915466453148999,-26.8967829790016,-0.266636211184977
0.05,0.03,9.17,55.1427379668183,-0.911454824993469,-26.8781949184662,-0.267346248541968
0.05,0.03,9.208,55.1420255889558,-0.907474770877668,-26.8598416498078,-0.268057168562072
0.05,0.03,9.246,55.1413190357984,-0.903525919256383,-26.8417221025467,-0.268768957818916
0.05,0.03,9.284,55.1406182201759,-0.899607904398261,-26.8238352226629,-0.269481602896412
0.05,0.03,9.322,55.1399230564165,-0.895720366273846,-26.8061799723637,-0.270195090391193
0.05,0.03,9.36,55.139233460317,-0.891862950445934,-26.7887553298565,-0.270909406915025
0.05,0.03,9.398,55.1385493491132,-0.888035307962616,-26.7715602891267,-0.271624539097181
0.05,0.03,9.436,55.1378706414519,-0.884237095252628,-26.7545938597212,-0.27234047358682
0.05,0.03,9.474,55.1371972573628,-0.880467974023139,-26.7378550665358,-0.273057197055288
0.05,0.03,9.512,55.1365291182309,-0.876727611159894,-26.7213429496085,-0.273774696198449
0.05,0.03,9.55,55.1358661467703,-0.873015678629428,-26.7050565639171,-0.274492957738946
0.05,0.03,9.588,55.1352082669979,-0.869331853383737,-26.6889949791811,-0.275211968428464
0.05,0.03,9.626,55.134555404208,-0.865675817266739,-26.6731572796686,-0.275931715049955
0.05,0.03,9.664,55.1339074849473,-0.86204725692322,-26.6575425640072,-0.276652184419851
0.05,0.03,9.702,55.1332644369908,-0.858445863709407,-26.642149945,-0.277373363390246
0.05,0.03,9.74,55.1326261893177,-0.85487133360581,-26.6269785494445,-0.278095238851059
0.05,0.03,9.778,55.1319926720881,-0.851323367131743,-26.6120275179566,-0.278817797732181
0.05,0.03,9.816,55.1313638166208,-0.847801669261989,-26.5972960047988,-0.279541027005589
0.05,0.03,9.854,55.1307395553702,-0.844305949345076,-26.5827831777113,-0.280264913687444
0.05,0.03,9.892,55.1301198219051,-0.840835921023315,-26.5684882177479,-0.28098944484018
0.05,0.03,9.93,55.1295045508873,-0.837391302154742,-26.5544103191155,-0.28171460757456
0.05,0.03,9.968,55.1288936780507,-0.833971814736643,-26.5405486890168,-0.282440389051717
0.05,0.03,10.006,55.128287140181,-0.830577184830705,-26.5269025474971,-0.283166776485184
0.05,0.03,10.044,55.1276848750956,-0.827207142489846,-26.5134711272947,-0.283893757142889
0.05,0.03,10.082,55.1270868216243,-0.823861421686549,-26.500253673694,-0.284621318349153
0.05,0.03,10.12,55.1264929195902,-0.820539760242718,-26.4872494443834,-0.285349447486653
0.05,0.03,10.158,55.1259031097909,-0.817241899761131,-26.4744577093147,-0.28607813199838
0.05,0.03,10.196,55.1253173339805,-0.813967585558161,-26.4618777505675,-0.286807359389571
0.05,0.03,10.234,55.1247355348512,-0.810716566598099,-26.4495088622154,-0.287537117229643
0.05,0.03,10.272,55.1241576560165,-0.807488595428747,-26.4373503501963,-0.288267393154078
0.05,0.03,10.31,55.1235836419937,-0.804283428118284,-26.4254015321851,-0.288998174866337
0.05,0.03,10.348,55.1230134381871,-0.80110082419385,-26.4136617374698,-0.289729450139713
